,image_name,c1,c2,c3,c4,c5,c_total,MOS,SD,set
20,10043785683.jpg,0.0,0.0,0.43396226415100003,0.566037735849,0.0,106,71.2043269231,0.49797433333200003,validation
25,10059344614.jpg,0.0,0.03,0.46,0.49,0.02,100,68.6651376147,0.5945883900110001,validation
26,10061596254.jpg,0.0,0.0747663551402,0.691588785047,0.233644859813,0.0,107,59.641891891899995,0.534640290117,validation
27,10067457634.jpg,0.0,0.0,0.137614678899,0.798165137615,0.0642201834862,109,78.4390756303,0.44527191065,validation
36,10082923485.jpg,0.0,0.153846153846,0.740384615385,0.105769230769,0.0,104,53.2260869565,0.509707848785,validation
40,10089177336.jpg,0.0,0.00990099009901,0.306930693069,0.623762376238,0.0594059405941,101,72.94594594590001,0.581224381954,validation
57,10140071304.jpg,0.0,0.0679611650485,0.6116504854370001,0.300970873786,0.0194174757282,103,62.5576923077,0.6134789057419999,validation
65,10164842933.jpg,0.0,0.008849557522120001,0.212389380531,0.716814159292,0.0619469026549,113,76.69375,0.532893966726,validation
96,10241895785.jpg,0.0,0.038834951456300004,0.378640776699,0.553398058252,0.0291262135922,103,67.0736607143,0.6199611269849999,validation
97,10244314384.jpg,0.0194174757282,0.330097087379,0.504854368932,0.145631067961,0.0,103,47.5481651376,0.713071770374,validation
99,10246311914.jpg,0.0,0.0,0.233644859813,0.6822429906540001,0.08411214953269999,107,75.4579831933,0.546062031132,validation
105,10264804094.jpg,0.0,0.00943396226415,0.264150943396,0.7169811320749999,0.00943396226415,106,76.6495535714,0.488594073759,validation
106,10264984793.jpg,0.0,0.039603960396,0.445544554455,0.49504950495,0.019801980198,101,66.1,0.6103075024319999,validation
135,10344523015.jpg,0.00925925925926,0.19444444444400003,0.657407407407,0.138888888889,0.0,108,52.526315789499996,0.606871919907,validation
147,10371125786.jpg,0.0190476190476,0.580952380952,0.361904761905,0.0380952380952,0.0,105,38.2451456311,0.600976007152,validation
164,10409059825.jpg,0.0,0.0,0.358490566038,0.622641509434,0.0188679245283,106,73.1513157895,0.514305679956,validation
167,10414716033.jpg,0.0,0.0,0.388349514563,0.582524271845,0.0291262135922,103,71.0878378378,0.539687072221,validation
